Path,Bam,Label,Locality,Individual,Collection Locality,Geographic Region
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_076_R1.sort.proper.rmdup.bam,RD_GSJS_076,RD_GSJS_076,GSJS_CS16,119,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_077_R1.sort.proper.rmdup.bam,RD_GSJS_077,RD_GSJS_077,GSJS_CS16,120,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_078_R1.sort.proper.rmdup.bam,RD_GSJS_078,RD_GSJS_078,GSJS_CS16,121,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_079_R1.sort.proper.rmdup.bam,RD_GSJS_079,RD_GSJS_079,GSJS_CS22A,122,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_080_R1.sort.proper.rmdup.bam,RD_GSJS_080,RD_GSJS_080,GSJS_CS22A,123,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_081_R1.sort.proper.rmdup.bam,RD_GSJS_081,RD_GSJS_081,GSJS_CS22A,124,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_082_R1.sort.proper.rmdup.bam,RD_GSJS_082,RD_GSJS_082,GSJS_CS22A,125,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_083_R1.sort.proper.rmdup.bam,RD_GSJS_083,RD_GSJS_083,GSJS_CS22A,126,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_085_R1.sort.proper.rmdup.bam,RD_GSJS_085,RD_GSJS_085,GSJS_CS22A,128,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_086_R1.sort.proper.rmdup.bam,RD_GSJS_086,RD_GSJS_086,GSJS_CS22A,129,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_087_R1.sort.proper.rmdup.bam,RD_GSJS_087,RD_GSJS_087,GSJS_CS22A,130,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_088_R1.sort.proper.rmdup.bam,RD_GSJS_088,RD_GSJS_088,GSJS_CS22A,131,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_089_R1.sort.proper.rmdup.bam,RD_GSJS_089,RD_GSJS_089,GSJS_CS22A,132,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_090_R1.sort.proper.rmdup.bam,RD_GSJS_090,RD_GSJS_090,GSJS_CS22A,133,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_091_R1.sort.proper.rmdup.bam,RD_GSJS_091,RD_GSJS_091,GSJS_CS22A,134,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_092_R1.sort.proper.rmdup.bam,RD_GSJS_092,RD_GSJS_092,GSJS_CS22A,135,GSJS,Eastern Valleys
